,Glide Angle,Angle of Attack,Moving Mass Positions,K_D,K_D0,K_L
0,-44.369369369369366,1.9596409110391155,0.0109883497404507,129.52136629796294,4.582652230546607,261.85562840281165
1,-43.828828828828826,3.0181421458832465,0.05001440243927109,57.27991165782247,2.674072583368705,181.0179687385761
2,-43.73873873873874,2.798006664526342,0.04281650750967214,49.967688792413306,6.446561677883836,148.51255079514954
3,-43.648648648648646,1.2629955689778085,0.007577929516685986,89.26617234467932,4.54224499765588,121.96065685982956
4,-43.55855855855856,1.052758923023369,-0.0007638069966348161,283.34359968588,3.718512354259708,317.40650501277287
5,-43.468468468468465,1.0019036162337938,-0.006132100594746703,105.6599497118936,1.7191918962888395,113.48753339247082
6,-43.37837837837838,1.1935064850176154,-0.009632543427130833,192.38884467063747,1.529807904484826,244.35360732947777
7,-43.288288288288285,1.3734755358713018,-0.014633731040915126,153.7607941835554,5.098178112998003,228.13823647736896
8,-43.01801801801802,3.036278602118655,0.10307126763352725,70.95575518191787,4.146765233546384,232.35070029376544
9,-42.65765765765766,1.4444635590696007,-0.03762258558145516,175.90442888496025,2.059693538485957,277.30819792949166
10,-42.387387387387385,5.31602955894576,0.21999491629627163,42.33577956801122,5.022321080255857,247.6143169540603
11,-42.11711711711712,1.5791867966084672,-0.06422161159696803,51.654888496340334,5.330244690813252,93.95740141775002
12,-41.75675675675676,1.5731362039325674,-0.09641551582973817,118.40661873244976,3.03828819942657,210.8114652804872
13,-41.666666666666664,1.3367796961070915,-0.14259919315700176,118.24803046046776,3.583189771064335,180.635595070391
14,-40.4054054054054,1.3694550624413582,0.13736384804413698,105.01015249157317,5.647304819348006,173.78446512702396
15,-40.22522522522522,1.4491829359477735,0.12519584446333507,138.75974980157645,4.037236771316122,241.03712259295432
16,-39.95495495495496,2.3082305937998235,0.8791540738261271,111.36481081919564,1.7380617821717008,307.73539652159684
17,-39.86486486486486,3.5383810043427357,-0.19816669076992494,41.68761090890471,5.080283104072061,178.35527233691147
18,-39.5045045045045,2.5361218732056114,0.3985987657239138,99.23836720591312,1.5315098737276904,305.9965199902493
19,-39.14414414414414,1.1363685336791478,0.03375422123054223,208.52847079685824,1.7349265673077854,293.0027130449177
20,-38.78378378378378,1.0897408018013948,0.029337627990116216,50.95579508810199,4.0438720444937895,73.7217532905318
21,-38.42342342342342,2.8824138181635677,0.17218414174663532,71.22893357987753,2.685956029000303,259.9956173835644
22,-37.88288288288288,1.793431996845572,0.12871686073729194,89.61999619623322,4.733375152211448,209.98309412997952
23,-37.792792792792795,1.9075747866101693,0.14411915957651358,106.92039845084705,3.3987488277163447,265.30778858679884
24,-37.7027027027027,1.993970022769583,0.1641461176043378,85.50109217243899,2.8432571365330226,222.40715507448647
25,-37.52252252252252,1.0410196388989035,-0.039919299517598046,219.14624112771227,4.352803622461531,302.51489011504503
26,-37.432432432432435,3.20902590240889,0.1750381010928467,42.07228113605731,4.235271275444546,178.10430314672527
27,-37.16216216216216,2.201982432992261,0.9288323218451711,88.6439760395761,3.11986763687086,259.37872648792955
28,-35.18018018018018,4.719224306276599,0.42323246412747256,44.72262714795012,3.5912652265227787,300.4904987926879
29,-34.81981981981982,1.4590778183351285,-0.8623028789973269,92.1271646730862,1.5315734881022882,194.77254102117791
30,-34.729729729729726,1.7343345691847885,-0.4488080816470744,96.23150224587968,6.396061156974366,246.083866729484
31,-34.63963963963964,2.0296085890548925,-0.32455246648592473,106.62359367696,5.105905540769164,316.87317427377457
32,-34.369369369369366,2.4080114829587265,-0.3213956157401127,61.63917744662479,2.2010787756358914,218.35868877922687
33,-33.82882882882883,1.429396934488659,0.16363586725788945,124.75449005216429,2.741747315169404,268.94915233425473
34,-33.55855855855856,2.6040197197991364,-6.603392908208013,59.105095834682864,2.784093996052789,233.63006756715035
35,-33.288288288288285,1.5926330407424252,0.13703038092523942,49.009891003803936,6.046870808580666,124.66259627831982
36,-33.10810810810811,2.0682889520004415,0.2207360926120831,85.78832213082993,2.625044176767042,274.04694867096407
37,-32.2972972972973,1.0586695974864866,0.12500576380309242,104.42460503624848,1.637248632181453,177.33949961362936
38,-32.207207207207205,1.364112769239306,0.13736168301084933,122.2518860074537,1.7685389909563458,266.8032295763809
39,-31.396396396396398,1.7634748054758687,0.6129524595099198,52.64413072869039,3.164288051216652,155.052305472946
40,-30.945945945945947,1.485919222125695,-0.17368038972221658,59.815488157558825,3.7429351060228697,152.44058879705685
41,-29.774774774774777,1.3850266017036557,-0.1346341653406068,108.8825452829112,2.474775660627909,266.7129166844305
42,-29.234234234234236,1.0428621260201276,-0.3084909022664698,116.88233461351167,1.9537441998193152,221.1421007994607
43,-27.882882882882885,1.0437215055499018,0.1505021332751015,155.84337831076692,5.221756757051384,316.8837183463009
44,-26.98198198198198,1.3844955091887612,0.1339533942751236,92.17248771985705,3.64211680158134,255.8152045390622
45,-24.36936936936937,1.3183885507981694,-0.12421865109881766,88.90459110561946,4.608774131542316,266.474709673396
46,-23.46846846846847,1.1905013270708882,-0.15225569715078302,41.74466943179743,3.112979226337215,120.4904962582508
47,-22.74774774774775,1.35061521696346,-0.3339749933045018,73.76262270297268,4.351817601360104,245.2893437379713
48,-20.585585585585587,1.1186101959930137,0.10877675607801411,79.7500826668495,3.0978959029767004,244.89233757439973
49,-20.135135135135137,2.142500435540504,0.2482890970997911,40.56802617019217,2.090526497428538,239.722637478665
50,-19.594594594594597,1.1356049412146394,0.2788514597175463,53.581329857050086,2.458382044462638,177.01122198253825
